# gunzip -c exp/tri1/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri1/graph 
# Started at Sun May 16 20:45:04 CST 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 34.5070422535% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 44.3661971831% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 65.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,11) frames.
At utterance begin, SIL accounts for 34.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,8.4,14) frames.
At utterance begin, s_B accounts for 18.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,11) frames.
At utterance begin, m_B accounts for 12.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.9,7) frames.
At utterance begin, 6_B accounts for 7.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,9) frames.
At utterance begin, d_B accounts for 7.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.7,7) frames.
At utterance begin, k_B accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.1,5) frames.
At utterance begin, i_B accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,10) frames.
At utterance begin, j_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.2,9) frames.
At utterance begin, p_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,3) frames.
At utterance begin, o_S accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,5) frames.
At utterance begin, t_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,8.0,4) frames.
At utterance begin, b_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.0,5) frames.
At utterance begin, e_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.0,13) frames.
At utterance begin, h_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,4) frames.
At utterance begin, n_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, u_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,8) frames.
At utterance begin, w_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.0,5) frames.
At utterance end, nonsilence accounts for 55.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.2,26) frames.
At utterance end, SIL accounts for 44.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.0,25) frames.
At utterance end, n_E accounts for 16.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,9) frames.
At utterance end, s_E accounts for 14.8% of phone occurrences, with duration (median, mean, 95-percentile) is (16,15.8,27) frames.
At utterance end, N_E accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.1,9) frames.
At utterance end, a_E accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.0,15) frames.
At utterance end, i_E accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.0,16) frames.
At utterance end, d_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, r_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.3,7) frames.
At utterance end, t_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, o_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,6) frames.
At utterance end, 6_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.0,14) frames.
At utterance end, S_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.0,18) frames.
