# gunzip -c exp/tri1_decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sun May 16 21:00:47 CST 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 34.5323741007% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 45.3237410072% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 65.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,10) frames.
At utterance begin, SIL accounts for 34.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.2,12) frames.
At utterance begin, s_B accounts for 19.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,11) frames.
At utterance begin, m_B accounts for 10.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.7,7) frames.
At utterance begin, d_B accounts for 8.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,7) frames.
At utterance begin, 6_B accounts for 7.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,7) frames.
At utterance begin, k_B accounts for 6.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,5) frames.
At utterance begin, p_B accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.4,3) frames.
At utterance begin, j_B accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,8) frames.
At utterance begin, i_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.7,10) frames.
At utterance begin, N_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, b_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.0,5) frames.
At utterance begin, g_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.0,5) frames.
At utterance begin, n_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, t_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,4) frames.
At utterance begin, w_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.0,5) frames.
At utterance end, nonsilence accounts for 54.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.6,25) frames.
At utterance end, SIL accounts for 45.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.2,25) frames.
At utterance end, n_E accounts for 18.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,9) frames.
At utterance end, s_E accounts for 15.1% of phone occurrences, with duration (median, mean, 95-percentile) is (16,15.6,27) frames.
At utterance end, N_E accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.0,9) frames.
At utterance end, t_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, a_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,11.3,12) frames.
At utterance end, d_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, i_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.7,14) frames.
At utterance end, r_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.3,7) frames.
