# build-tree --verbose=1 --max-leaves=2900 --cluster-thresh=-1 exp/tri2a/treeacc data/lang/phones/roots.int exp/tri2a/questions.qst data/lang/topo exp/tri2a/tree 
# Started at Sat Apr  3 18:03:56 CST 2021
#
build-tree --verbose=1 --max-leaves=2900 --cluster-thresh=-1 exp/tri2a/treeacc data/lang/phones/roots.int exp/tri2a/questions.qst data/lang/topo exp/tri2a/tree 
LOG (build-tree[5.5.896~1-8a59]:main():build-tree.cc:104) Number of separate statistics is 15558
LOG (build-tree[5.5.896~1-8a59]:BuildTree():build-tree.cc:161) BuildTree: before building trees, map has 47 leaves.
LOG (build-tree[5.5.896~1-8a59]:SplitDecisionTree():build-tree-utils.cc:577) DoDecisionTreeSplit: split 1472 times, #leaves now 1519
LOG (build-tree[5.5.896~1-8a59]:BuildTree():build-tree.cc:187) Setting clustering threshold to smallest split 300.015
VLOG[1] (build-tree[5.5.896~1-8a59]:BuildTree():build-tree.cc:196) After decision tree split, num-leaves = 1519, like-impr = 7.11764 per frame over 279009 frames.
VLOG[1] (build-tree[5.5.896~1-8a59]:BuildTree():build-tree.cc:200) Including just phones that were split, improvement is 7.11764 per frame over 279009 frames.
LOG (build-tree[5.5.896~1-8a59]:BuildTree():build-tree.cc:215) BuildTree: removed 433 leaves.
VLOG[1] (build-tree[5.5.896~1-8a59]:ClusterEventMapToNClustersRestrictedByMap():build-tree-utils.cc:914) Number of non-empty clusters in map = 47
VLOG[1] (build-tree[5.5.896~1-8a59]:ClusterEventMapToNClustersRestrictedByMap():build-tree-utils.cc:915) Number of non-empty clusters = 1086
LOG (build-tree[5.5.896~1-8a59]:BuildTree():build-tree.cc:231) BuildTree: Rounded num leaves to multiple of 8 by removing 6 leaves.
VLOG[1] (build-tree[5.5.896~1-8a59]:BuildTree():build-tree.cc:256) Objf change due to clustering -0.323724 per frame.
VLOG[1] (build-tree[5.5.896~1-8a59]:BuildTree():build-tree.cc:259) Normalizing over only split phones, this is: -0.323724 per frame.
VLOG[1] (build-tree[5.5.896~1-8a59]:BuildTree():build-tree.cc:262) Num-leaves is now 1080
