# gunzip -c exp/tri2a_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sun May 16 20:51:38 CST 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 42.2695035461% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 45.2482269504% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 57.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,14) frames.
At utterance begin, SIL accounts for 42.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.9,25) frames.
At utterance begin, s_B accounts for 14.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,15) frames.
At utterance begin, m_B accounts for 7.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.1,7) frames.
At utterance begin, k_B accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,8) frames.
At utterance begin, p_B accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,6) frames.
At utterance begin, 6_B accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,16) frames.
At utterance begin, n_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,8) frames.
At utterance begin, j_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.2,14) frames.
At utterance begin, d_B accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.8,7) frames.
At utterance begin, h_B accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.0,11) frames.
At utterance begin, i_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,11) frames.
At utterance begin, b_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,12) frames.
At utterance begin, w_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.8,10) frames.
At utterance begin, t_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,5) frames.
At utterance begin, e_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,10) frames.
At utterance begin, 6j_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.2,15) frames.
At utterance begin, f_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,5) frames.
At utterance begin, g_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,5) frames.
At utterance end, nonsilence accounts for 54.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.3,25) frames.
At utterance end, SIL accounts for 45.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.5,23) frames.
At utterance end, n_E accounts for 13.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,15) frames.
At utterance end, s_E accounts for 11.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.5,25) frames.
At utterance end, t_E accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.7,14) frames.
At utterance end, o_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.1,20) frames.
At utterance end, r_E accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.8,24) frames.
At utterance end, a_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.2,17) frames.
At utterance end, i_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.8,18) frames.
At utterance end, aw_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (19,23.1,39) frames.
At utterance end, d_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.8,8) frames.
At utterance end, j_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.3,18) frames.
At utterance end, N_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.7,9) frames.
At utterance end, k_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.0,11) frames.
At utterance end, 6_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.5,9) frames.
At utterance end, l_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.5,14) frames.
At utterance end, tS_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.0,19) frames.
Overall, nonsilence accounts for 95.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,14) frames.
Overall, 6_I accounts for 10.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.5,12) frames.
Overall, i_I accounts for 5.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,13) frames.
Overall, a_I accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,14) frames.
