# gunzip -c exp/tri3a/decode.si/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri3a/graph 
# Started at Sun May 16 20:58:55 CST 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 19.014084507% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 37.323943662% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 81.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,15) frames.
At utterance begin, SIL accounts for 19.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.3,13) frames.
At utterance begin, s_B accounts for 19.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,12) frames.
At utterance begin, 6_B accounts for 16.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.0,19) frames.
At utterance begin, m_B accounts for 12.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,9) frames.
At utterance begin, d_B accounts for 9.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,8) frames.
At utterance begin, k_B accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.9,4) frames.
At utterance begin, j_B accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,8) frames.
At utterance begin, i_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,11) frames.
At utterance begin, p_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.8,3) frames.
At utterance begin, n_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.0,6) frames.
At utterance begin, h_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.0,3) frames.
At utterance begin, 6_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.0,12) frames.
At utterance begin, b_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.0,5) frames.
At utterance begin, l_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,4) frames.
At utterance begin, o_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,7) frames.
At utterance begin, t_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,4) frames.
At utterance begin, u_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,9) frames.
