# gunzip -c exp/tri3a/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri3a/graph 
# Started at Sun May 16 21:00:13 CST 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 20.4225352113% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 35.9154929577% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 79.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,13) frames.
At utterance begin, SIL accounts for 20.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.7,15) frames.
At utterance begin, s_B accounts for 19.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,12) frames.
At utterance begin, 6_B accounts for 15.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.1,16) frames.
At utterance begin, m_B accounts for 12.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.1,9) frames.
At utterance begin, d_B accounts for 9.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,8) frames.
At utterance begin, k_B accounts for 5.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.8,4) frames.
At utterance begin, j_B accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,8) frames.
At utterance begin, i_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.2,10) frames.
At utterance begin, p_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.8,3) frames.
At utterance begin, 6_S accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.0,7) frames.
At utterance begin, h_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.5,11) frames.
At utterance begin, n_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,9.0,3) frames.
At utterance begin, b_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,6) frames.
