# gunzip -c exp/tri4a/decode.si/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri4a/graph 
# Started at Sun Apr  4 23:48:08 CST 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 30.303030303% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 31.8181818182% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 69.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,13) frames.
At utterance begin, SIL accounts for 30.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.8,14) frames.
At utterance begin, m_B accounts for 12.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.0,6) frames.
At utterance begin, s_B accounts for 9.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,10) frames.
At utterance begin, n_B accounts for 7.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,5) frames.
At utterance begin, 6_B accounts for 6.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.5,15) frames.
At utterance begin, i_B accounts for 6.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.2,11) frames.
At utterance begin, k_B accounts for 6.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, b_B accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.0,8) frames.
At utterance begin, p_B accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,4) frames.
At utterance begin, j_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,8) frames.
At utterance begin, t_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,3) frames.
At utterance begin, d_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,8) frames.
At utterance begin, e_S accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.0,14) frames.
At utterance begin, h_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,6) frames.
At utterance begin, o_S accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.0,5) frames.
At utterance begin, r_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, nonsilence accounts for 68.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.3,20) frames.
At utterance end, SIL accounts for 31.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.5,9) frames.
At utterance end, n_E accounts for 13.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.9,9) frames.
At utterance end, o_E accounts for 12.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,7) frames.
At utterance end, s_E accounts for 10.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.0,21) frames.
At utterance end, r_E accounts for 6.1% of phone occurrences, with duration (median, mean, 95-percentile) is (19,17.5,20) frames.
At utterance end, t_E accounts for 6.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.8,5) frames.
At utterance end, a_E accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.7,7) frames.
At utterance end, i_E accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.0,14) frames.
At utterance end, 6_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,7) frames.
At utterance end, 6_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,6) frames.
At utterance end, 6_S accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,9) frames.
At utterance end, e_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,7) frames.
At utterance end, e_S accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.0,14) frames.
At utterance end, l_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, u_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.0,13) frames.
Overall, nonsilence accounts for 94.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,14) frames.
Overall, 6_I accounts for 10.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,11) frames.
Overall, SIL accounts for 6.0% of phone occurrences, with duration (median, mean, 95-percentile) is (14,19.0,44) frames.
Overall, i_I accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,11) frames.
Overall, a_I accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,12) frames.
Overall, 6_E accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.6,17) frames.
Overall, n_E accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,13) frames.
Overall, N_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,14) frames.
Overall, o_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.6,13) frames.
Overall, l_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.8,10) frames.
Overall, m_B accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.8,9) frames.
Overall, e_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,13) frames.
Overall, n_B accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,9) frames.
Overall, r_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,10) frames.
Overall, n_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,9) frames.
Overall, s_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.3,16) frames.
Overall, o_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,21) frames.
Overall, t_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,11) frames.
Overall, u_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,12) frames.
Overall, g_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,11) frames.
Overall, s_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.7,16) frames.
Overall, p_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,11) frames.
Overall, 6_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.3,14) frames.
